"REF_DATE","GEO","DGUID","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","17.2","","","","1"
"2001","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","16.1","","","","1"
"2002","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","15.1","","","","1"
"2003","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","14.4","","","","1"
"2004","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","13.6","","","","1"
"2005","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","13.4","","","","1"
"2006","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","13.7","","","","1"
"2007","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","13.9","","","","1"
"2008","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","14.2","","","","1"
"2009","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","14.1","","","","1"
"2010","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","13.3","","","","1"
"2011","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","12.4","","","","1"
"2012","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","12.1","","","","1"
"2013","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","11.2","","","","1"
"2014","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","10.4","","","","1"
"2015","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","9.5","","","","1"
"2016","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","8.4","","","","1"
"2017","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","7.8","","","","1"
"2018","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","6.8","","","","1"
"2019","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","6.4","","","","1"
"2020","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","5.8","","","","1"
"2021","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 15 to 19 years","Rate","257","units","0","v21400968","1.1","5.2","","","","1"
