"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","15193812","","","","0"
"2001","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","15366610","","","","0"
"2002","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","15537162","","","","0"
"2003","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","15678561","","","","0"
"2004","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","15826209","","","","0"
"2005","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","15979555","","","","0"
"2006","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","16144762","","","","0"
"2007","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","16298853","","","","0"
"2008","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","16474391","","","","0"
"2009","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","16664175","","","","0"
"2010","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","16848460","","","","0"
"2011","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","17013151","","","","0"
"2012","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","17207389","","","","0"
"2013","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","17397429","","","","0"
"2014","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","17576632","","","","0"
"2015","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","17710573","","","","0"
"2016","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","17914526","","","","0"
"2017","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","18142187","","","","0"
"2018","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","18425190","","","","0"
"2019","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","18715511","","","","0"
"2020","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","18929001","","","","0"
"2021","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","19042795","","","","0"
