"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000/2001","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","112056","","","","0"
"2001/2002","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","112547","","","","0"
"2002/2003","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","113834","","","","0"
"2003/2004","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","115767","","","","0"
"2004/2005","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","116457","","","","0"
"2005/2006","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","114078","","","","0"
"2006/2007","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","118256","","","","0"
"2007/2008","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","119525","","","","0"
"2008/2009","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","120003","","","","0"
"2009/2010","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","119754","","","","0"
"2010/2011","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","123028","","","","0"
"2011/2012","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","122406","","","","0"
"2012/2013","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","126528","","","","0"
"2013/2014","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","127950","","","","0"
"2014/2015","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","133789","","","","0"
"2015/2016","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","133709","","","","0"
"2016/2017","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","139462","","","","0"
"2017/2018","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","144987","","","","0"
"2018/2019","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","145106","","","","0"
"2019/2020","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","152556","","","","0"
"2020/2021","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","161323","","","","0"
"2021/2022","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","170159","","","","0"
"2022/2023","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","172453","","","","0"
"2023/2024","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","172654","","","","0"
"2024/2025","Canada","2021A000011124","Men+","All ages","Persons","249","units","0","v470809","1.1.1","174663","","","","0"
"2000/2001","Canada","2021A000011124","Men+","-1 year","Persons","249","units","0","v470860","1.1.2","886","","","","0"
"2001/2002","Canada","2021A000011124","Men+","-1 year","Persons","249","units","0","v470860","1.1.2","907","","","","0"
"2002/2003","Canada","2021A000011124","Men+","-1 year","Persons","249","units","0","v470860","1.1.2","894","","","","0"
"2003/2004","Canada","2021A000011124","Men+","-1 year","Persons","249","units","0","v470860","1.1.2","861","","","","0"
"2004/2005","Canada","2021A000011124","Men+","-1 year","Persons","249","units","0","v470860","1.1.2","918","","","","0"
"2005/2006","Canada","2021A000011124","Men+","-1 year","Persons","249","units","0","v470860","1.1.2","935","","","","0"
"2006/2007","Canada","2021A000011124","Men+","-1 year","Persons","249","units","0","v470860","1.1.2","903","","","","0"
"2007/2008","Canada","2021A000011124","Men+","-1 year","Persons","249","units","0","v470860","1.1.2","957","","","","0"
"2008/2009","Canada","2021A000011124","Men+","-1 year","Persons","249","units","0","v470860","1.1.2","916","","","","0"
"2009/2010","Canada","2021A000011124","Men+","-1 year","Persons","249","units","0","v470860","1.1.2","927","","","","0"
"2010/2011","Canada","2021A000011124","Men+","-1 year","Persons","249","units","0","v470860","1.1.2","966","","","","0"
"2011/2012","Canada","2021A000011124","Men+","-1 year","Persons","249","units","0","v470860","1.1.2","936","","","","0"
